filename,l*,a*,b*,skin_tone,undertone
img3891.jpg,64.16,18.22,27.46,medium,warm
img6731.jpg,54.17,22.22,27.77,medium,warm
img2966.jpg,81.36,11.83,9.09,light,unclassified
img2972.jpg,40.87,13.26,8.64,medium,unclassified
img4495.jpg,58.55,19.22,19.16,medium,warm
img5953.jpg,47.28,19.18,29.9,medium,warm
img2796.jpg,53.25,15.55,18.18,medium,warm
img5774.jpg,54.06,22.25,13.55,medium,unclassified
img7605.jpg,32.8,17.19,19.7,dark,warm
img1274.jpg,62.58,13.7,19.18,medium,neutral
img3477.jpg,72.25,14.71,16.23,light,neutral
img4318.jpg,61.83,19.41,29.28,medium,warm
img7611.jpg,47.68,12.58,17.8,medium,neutral
img1260.jpg,69.3,12.5,17.54,medium,neutral
img6269.jpg,33.22,11.92,16.58,dark,neutral
img7177.jpg,50.5,11.79,15.45,medium,neutral
img3311.jpg,73.79,19.92,22.84,light,warm
img6241.jpg,47.72,19.29,22.74,medium,warm
img865.jpg,70.27,20.81,17.63,light,warm
img4456.jpg,47.16,18.99,32.5,medium,warm
img5990.jpg,50.29,23.45,24.26,medium,warm
img5748.jpg,53.19,21.77,14.77,medium,unclassified
img4330.jpg,45.02,23.84,33.12,medium,warm
img7639.jpg,48.57,20.69,11.48,medium,unclassified
img6527.jpg,67.45,18.14,24.53,medium,warm
img4442.jpg,78.99,15.64,14.61,light,unclassified
img5984.jpg,50.36,14.66,9.78,medium,unclassified
img6255.jpg,34.16,20.22,19.14,dark,warm
img871.jpg,65.08,13.78,10.21,medium,unclassified
img6525.jpg,65.19,27.44,21.53,medium,warm
img4332.jpg,49.84,10.0,16.22,medium,neutral
img2025.jpg,62.64,12.94,11.7,medium,unclassified
img5992.jpg,59.24,15.0,18.42,medium,neutral
img6243.jpg,55.16,23.94,24.3,medium,warm
img867.jpg,62.63,14.4,13.15,medium,neutral
img1538.jpg,30.86,13.47,13.03,dark,neutral
img6257.jpg,42.15,14.54,13.87,medium,neutral
img873.jpg,63.15,29.81,15.27,medium,warm
img2031.jpg,70.54,20.46,29.83,light,warm
img5986.jpg,57.36,10.6,13.06,medium,neutral
img4440.jpg,62.79,13.35,18.52,medium,neutral
img4326.jpg,68.61,21.35,25.66,medium,warm
img3449.jpg,50.47,21.55,22.76,medium,warm
img5010.jpg,60.85,17.46,17.59,medium,warm
img683.jpg,61.27,28.83,31.65,medium,warm
img5776.jpg,66.59,10.97,16.1,medium,neutral
img3307.jpg,70.26,16.47,22.25,light,warm
img4468.jpg,52.72,19.18,20.06,medium,warm
img5762.jpg,61.77,20.26,7.16,medium,unclassified
img7175.jpg,52.92,20.47,20.73,medium,warm
img1504.jpg,59.52,17.89,16.13,medium,warm
img1262.jpg,61.61,16.86,14.45,medium,unclassified
img7613.jpg,60.95,23.04,15.38,medium,warm
img1289.jpg,72.29,12.52,12.99,light,unclassified
img6280.jpg,66.22,14.34,20.91,medium,unclassified
img5951.jpg,50.1,16.62,16.12,medium,warm
img4497.jpg,69.67,18.15,18.55,medium,warm
img5789.jpg,60.52,24.23,23.37,medium,warm
img5945.jpg,54.12,21.93,14.16,medium,unclassified
img4483.jpg,69.68,14.05,21.18,medium,unclassified
img6294.jpg,63.01,20.6,21.04,medium,warm
img668.jpg,65.6,14.88,21.3,medium,unclassified
img2794.jpg,69.37,14.53,13.27,medium,neutral
img2964.jpg,71.77,9.74,9.29,light,cool
img640.jpg,77.17,11.79,7.94,light,unclassified
img5979.jpg,58.99,21.25,20.58,medium,warm
img2970.jpg,62.76,10.64,17.19,medium,neutral
img132.jpg,65.05,16.35,12.32,medium,unclassified
img4656.jpg,43.13,24.08,25.53,medium,warm
img3139.jpg,61.33,24.06,22.79,medium,warm
img2227.jpg,90.76,4.37,-0.96,light,cool
img5548.jpg,64.78,14.22,11.46,medium,unclassified
img3887.jpg,75.62,11.62,20.15,light,unclassified
img4130.jpg,39.56,24.86,35.75,dark,warm
img7439.jpg,63.59,9.37,8.55,medium,cool
img6733.jpg,50.55,26.52,20.73,medium,warm
img3893.jpg,74.15,11.52,20.66,light,unclassified
img2555.jpg,63.61,16.49,22.39,medium,warm
img6055.jpg,39.33,31.26,37.35,dark,warm
img5574.jpg,75.2,15.73,25.54,light,warm
img1712.jpg,64.28,15.98,23.52,medium,warm
img481.jpg,70.91,13.39,19.97,light,neutral
img7363.jpg,40.43,20.78,28.38,medium,warm
img7405.jpg,66.32,13.81,17.83,medium,neutral
img1074.jpg,69.13,19.02,21.87,medium,warm
img35.jpg,75.69,13.27,17.62,light,neutral
img5206.jpg,47.07,27.32,22.27,medium,warm
img2569.jpg,79.68,17.16,10.35,light,unclassified
img3677.jpg,57.93,26.25,29.39,medium,warm
img21.jpg,49.05,18.47,18.18,medium,warm
img4118.jpg,57.99,13.39,14.52,medium,neutral
img7411.jpg,60.29,20.2,6.25,medium,unclassified
img6069.jpg,67.53,18.7,21.27,medium,warm
img1706.jpg,77.03,19.33,10.92,light,unclassified
img6082.jpg,60.32,22.63,2.33,medium,unclassified
img318.jpg,53.66,21.11,26.89,medium,warm
img2582.jpg,56.74,7.92,13.29,medium,unclassified
img3850.jpg,56.97,22.6,29.13,medium,warm
img6928.jpg,75.56,13.95,3.75,light,unclassified
img7388.jpg,51.34,18.71,15.58,medium,warm
img6096.jpg,69.49,25.13,22.59,medium,warm
img4859.jpg,56.04,16.0,27.77,medium,warm
img442.jpg,75.84,10.71,13.44,light,neutral
img1909.jpg,76.87,11.69,13.9,light,neutral
img3878.jpg,56.05,17.99,22.35,medium,warm
img6900.jpg,51.92,19.03,31.82,medium,warm
img324.jpg,63.05,18.05,22.73,medium,warm
img6914.jpg,46.97,17.36,16.52,medium,warm
img330.jpg,66.89,11.13,23.35,medium,unclassified
img1882.jpg,59.97,22.3,27.59,medium,warm
img6135.jpg,52.34,24.23,26.43,medium,warm
img2353.jpg,65.32,10.34,20.13,medium,unclassified
img4044.jpg,53.06,25.66,21.73,medium,warm
img2435.jpg,69.19,14.36,17.56,medium,neutral
img6653.jpg,74.09,19.35,20.51,light,warm
img7559.jpg,20.59,15.92,16.16,dark,warm
img4050.jpg,36.32,18.59,18.84,dark,warm
img2421.jpg,67.27,16.28,25.07,medium,warm
img2347.jpg,64.32,10.47,35.47,medium,unclassified
img3059.jpg,35.61,14.8,16.32,dark,neutral
img4736.jpg,75.35,12.96,17.35,light,neutral
img1896.jpg,61.2,22.93,16.18,medium,warm
img6121.jpg,66.28,13.82,29.53,medium,unclassified
img5400.jpg,59.99,10.67,12.13,medium,unclassified
img7217.jpg,64.1,26.22,32.38,medium,warm
img1666.jpg,56.75,14.76,26.84,medium,unclassified
img6109.jpg,51.15,30.23,24.79,medium,warm
img1100.jpg,63.14,11.71,23.61,medium,unclassified
img7571.jpg,80.14,14.28,8.18,light,unclassified
img4078.jpg,50.45,12.0,10.9,medium,unclassified
img3717.jpg,66.22,13.98,24.55,medium,unclassified
img2409.jpg,62.36,19.52,12.08,medium,unclassified
img5366.jpg,72.37,11.93,22.8,light,unclassified
img3703.jpg,46.01,18.58,20.17,medium,warm
img1114.jpg,53.23,20.65,24.5,medium,warm
img7565.jpg,62.22,18.24,29.0,medium,warm
img7203.jpg,49.7,23.35,25.81,medium,warm
img5414.jpg,74.54,11.13,20.42,light,unclassified
img3065.jpg,74.47,14.94,18.92,light,neutral
img4939.jpg,58.97,14.78,12.96,medium,unclassified
img1699.jpg,68.06,16.75,18.46,medium,warm
img1841.jpg,61.32,15.62,18.15,medium,warm
img6848.jpg,45.54,24.93,19.81,medium,warm
img6690.jpg,28.51,12.75,12.67,dark,unclassified
img5399.jpg,47.03,15.03,25.14,medium,warm
img3930.jpg,53.3,16.38,25.02,medium,warm
img4093.jpg,64.73,10.64,23.06,medium,unclassified
img6684.jpg,37.17,4.89,21.37,dark,unclassified
img2384.jpg,56.22,14.99,26.04,medium,unclassified
img6874.jpg,67.04,20.0,19.95,medium,warm
img6860.jpg,61.63,35.22,14.23,medium,unclassified
img4911.jpg,59.0,16.18,23.03,medium,warm
img522.jpg,39.94,20.71,18.76,dark,warm
img6451.jpg,47.72,19.29,22.74,medium,warm
img5158.jpg,61.2,12.79,25.59,medium,unclassified
img2637.jpg,50.8,13.61,19.52,medium,neutral
img3529.jpg,75.94,9.85,13.25,light,unclassified
img4520.jpg,32.58,14.08,13.0,dark,unclassified
img6337.jpg,52.62,21.97,17.19,medium,warm
img1458.jpg,60.47,23.56,24.61,medium,warm
img7029.jpg,53.93,30.0,29.28,medium,warm
img6323.jpg,59.11,23.04,24.8,medium,warm
img4252.jpg,24.7,5.22,12.85,dark,cool
img6445.jpg,35.75,30.34,12.3,dark,unclassified
img5164.jpg,53.0,13.61,0.38,medium,unclassified
img3515.jpg,73.04,9.41,0.9,light,cool
img1302.jpg,65.78,9.71,19.16,medium,unclassified
img1464.jpg,70.33,21.9,17.65,light,warm
img7015.jpg,53.67,13.51,20.34,medium,unclassified
img4508.jpg,48.7,25.92,21.49,medium,warm
img5616.jpg,61.19,13.71,9.72,medium,unclassified
img7001.jpg,53.13,29.0,28.31,medium,warm
img1316.jpg,74.18,19.97,11.95,light,unclassified
img6479.jpg,59.96,16.84,19.9,medium,warm
img5170.jpg,58.44,6.46,28.41,medium,unclassified
img3501.jpg,72.23,2.77,32.87,light,unclassified
img4285.jpg,51.11,13.17,16.83,medium,neutral
img6492.jpg,62.31,16.93,9.86,medium,unclassified
img708.jpg,57.82,20.48,18.77,medium,warm
img2192.jpg,67.98,16.85,18.65,medium,warm
img5825.jpg,46.45,3.23,17.53,medium,unclassified
img5831.jpg,30.89,12.03,16.56,dark,neutral
img6486.jpg,45.15,12.26,9.26,medium,unclassified
img2838.jpg,59.38,12.86,22.82,medium,unclassified
img5819.jpg,42.61,19.82,15.91,medium,warm
img734.jpg,73.27,10.28,10.46,light,unclassified
img720.jpg,67.68,16.56,17.54,medium,warm
img735.jpg,68.64,11.75,11.26,medium,unclassified
img5830.jpg,44.4,6.49,17.29,medium,unclassified
img3299.jpg,41.62,1.06,19.59,medium,unclassified
img4290.jpg,52.38,9.75,24.66,medium,unclassified
img6487.jpg,57.29,23.09,23.01,medium,warm
img6493.jpg,43.46,16.29,14.62,medium,unclassified
img7000.jpg,57.65,11.72,9.69,medium,unclassified
img1471.jpg,49.31,14.83,11.45,medium,unclassified
img5171.jpg,36.33,18.18,18.38,dark,warm
img1317.jpg,69.61,17.48,30.81,medium,warm
img1303.jpg,65.93,10.81,13.29,medium,neutral
img3272.jpg,40.53,8.29,3.86,medium,cool
img7014.jpg,36.63,14.38,9.86,dark,unclassified
img906.jpg,71.73,18.08,23.22,light,warm
img6322.jpg,50.2,18.29,28.54,medium,warm
img4253.jpg,65.51,19.71,17.6,medium,warm
img2622.jpg,48.25,13.2,15.96,medium,neutral
img2636.jpg,49.36,8.77,9.27,medium,cool
img5159.jpg,52.81,3.57,3.67,medium,cool
img6450.jpg,42.85,19.09,18.46,medium,warm
img7028.jpg,46.55,14.19,22.27,medium,unclassified
img1459.jpg,61.7,15.45,12.75,medium,unclassified
img6336.jpg,60.13,18.93,14.15,medium,unclassified
img2150.jpg,66.05,14.97,9.47,medium,unclassified
img4521.jpg,55.81,23.49,10.36,medium,unclassified
img6861.jpg,62.76,21.95,22.41,medium,warm
img4910.jpg,61.59,17.69,18.39,medium,warm
img537.jpg,65.33,14.13,19.28,medium,neutral
img6685.jpg,52.59,2.01,2.47,medium,cool
img2385.jpg,71.25,15.9,20.02,light,warm
img1840.jpg,69.63,17.61,20.59,medium,warm
img1698.jpg,44.22,17.55,15.81,medium,warm
img2391.jpg,38.55,13.94,19.79,dark,neutral
img4938.jpg,62.4,12.75,23.91,medium,unclassified
img5398.jpg,62.4,20.8,24.82,medium,warm
img6691.jpg,51.04,15.24,20.56,medium,warm
img6849.jpg,34.84,9.89,13.81,dark,unclassified
img7564.jpg,70.38,19.7,23.71,light,warm
img286.jpg,89.22,5.6,7.07,light,cool
img1115.jpg,59.05,20.62,16.0,medium,warm
img5373.jpg,63.03,26.66,30.1,medium,warm
img3702.jpg,73.9,13.48,18.51,light,neutral
img7202.jpg,47.42,20.38,17.77,medium,warm
img6108.jpg,64.5,19.69,14.44,medium,unclassified
img1667.jpg,50.16,18.42,14.95,medium,unclassified
img5367.jpg,54.55,19.02,19.9,medium,warm
img4079.jpg,42.6,14.83,19.85,medium,neutral
img7570.jpg,45.18,15.12,12.48,medium,unclassified
img2420.jpg,53.31,9.4,2.67,medium,cool
img6646.jpg,65.59,14.98,15.09,medium,neutral
img6120.jpg,41.36,9.64,14.83,medium,unclassified
img1897.jpg,55.97,15.15,16.64,medium,warm
img4737.jpg,43.75,25.38,20.24,medium,warm
img4723.jpg,81.77,12.97,10.77,light,unclassified
img6134.jpg,68.97,17.89,24.29,medium,warm
img1883.jpg,70.14,13.97,19.05,light,neutral
img6652.jpg,59.53,23.0,29.33,medium,warm
img2434.jpg,63.48,22.75,24.92,medium,warm
img331.jpg,77.26,8.79,21.54,light,unclassified
img4864.jpg,59.42,6.8,19.83,medium,unclassified
img6901.jpg,53.64,25.91,19.97,medium,warm
img3879.jpg,61.49,14.4,16.3,medium,neutral
img6929.jpg,49.88,21.39,20.95,medium,warm
img3851.jpg,75.46,11.34,14.38,light,neutral
img3689.jpg,62.12,8.79,9.31,medium,cool
img4858.jpg,45.2,15.52,16.66,medium,warm
img6097.jpg,61.3,18.1,30.2,medium,warm
img7389.jpg,51.57,23.17,11.48,medium,unclassified
img1920.jpg,60.63,15.55,26.57,medium,warm
img6083.jpg,55.09,13.69,10.4,medium,unclassified
img2583.jpg,70.21,9.34,6.61,light,cool
img4119.jpg,71.03,11.09,24.58,light,unclassified
img20.jpg,80.15,11.11,22.54,light,unclassified
img2568.jpg,68.34,11.43,28.34,medium,unclassified
img7376.jpg,54.87,14.24,17.31,medium,neutral
img1707.jpg,67.82,6.58,6.98,medium,cool
img6068.jpg,58.82,21.79,18.31,medium,warm
img7362.jpg,70.83,12.54,15.64,light,neutral
img480.jpg,71.99,13.41,11.18,light,unclassified
img1713.jpg,66.9,19.5,24.3,medium,warm
img34.jpg,58.99,10.16,7.61,medium,unclassified
img3662.jpg,68.25,19.16,21.23,medium,warm
img3892.jpg,50.09,4.48,2.13,medium,cool
img4643.jpg,64.81,13.63,17.54,medium,neutral
img5549.jpg,65.54,16.38,12.92,medium,unclassified
img3138.jpg,48.87,17.21,16.44,medium,warm
img4657.jpg,56.27,21.47,26.25,medium,warm
img6040.jpg,27.44,17.02,11.44,dark,unclassified
img1049.jpg,58.92,17.91,19.49,medium,warm
img7438.jpg,46.32,19.75,12.55,medium,unclassified
img4131.jpg,62.33,10.47,15.06,medium,neutral
img3886.jpg,60.39,29.41,28.24,medium,warm
img5978.jpg,55.36,15.05,14.03,medium,unclassified
img655.jpg,83.04,13.6,11.54,light,unclassified
img133.jpg,61.96,14.79,18.59,medium,neutral
img5944.jpg,67.71,12.62,16.18,medium,neutral
img2795.jpg,65.41,18.69,17.18,medium,warm
img5788.jpg,64.29,19.12,20.26,medium,warm
img4496.jpg,72.04,11.53,21.69,light,unclassified
img6281.jpg,62.92,15.2,26.45,medium,warm
img7174.jpg,62.78,19.32,28.55,medium,warm
img3312.jpg,65.91,28.78,26.09,medium,warm
img5763.jpg,52.15,24.98,23.04,medium,warm
img3474.jpg,83.59,9.73,12.76,light,cool
img7612.jpg,57.08,14.63,8.23,medium,unclassified
img1263.jpg,61.85,14.67,12.33,medium,unclassified
img6518.jpg,69.82,19.73,26.81,medium,warm
img5011.jpg,51.31,12.25,9.51,medium,unclassified
img3460.jpg,47.57,21.08,15.38,medium,warm
img3306.jpg,68.0,7.78,13.91,medium,unclassified
img5777.jpg,45.81,17.0,16.55,medium,warm
img1511.jpg,72.29,22.25,12.97,light,unclassified
img682.jpg,51.59,20.22,23.98,medium,warm
img7160.jpg,56.61,27.44,27.93,medium,warm
img4441.jpg,66.9,28.95,25.52,medium,warm
img5987.jpg,75.45,15.91,23.38,light,warm
img2030.jpg,62.12,21.66,25.44,medium,warm
img6256.jpg,42.37,16.93,30.15,medium,warm
img1539.jpg,55.14,23.35,29.82,medium,warm
img7148.jpg,52.1,16.73,8.86,medium,unclassified
img6530.jpg,52.14,11.7,21.13,medium,unclassified
img5039.jpg,60.18,13.97,30.89,medium,unclassified
img3448.jpg,62.47,16.7,16.6,medium,warm
img4333.jpg,59.3,18.25,16.54,medium,warm
img866.jpg,66.38,18.07,17.8,medium,warm
img6242.jpg,46.05,14.26,17.48,medium,neutral
img4455.jpg,65.67,20.34,13.76,medium,unclassified
img5993.jpg,48.66,20.08,19.94,medium,warm
img686.jpg,65.31,11.48,15.9,medium,neutral
img7164.jpg,51.29,18.24,24.39,medium,warm
img1515.jpg,74.88,17.56,10.73,light,unclassified
img5773.jpg,61.77,19.14,15.87,medium,warm
img3464.jpg,67.52,19.5,25.99,medium,warm
img5015.jpg,65.28,20.14,15.16,medium,warm
img1273.jpg,76.92,12.14,12.01,light,unclassified
img1267.jpg,57.71,19.58,14.66,medium,unclassified
img7616.jpg,66.83,15.69,21.01,medium,warm
img5001.jpg,71.29,14.89,23.7,light,unclassified
img5767.jpg,44.43,18.08,12.01,medium,unclassified
img4479.jpg,73.64,14.9,24.73,light,unclassified
img3316.jpg,91.55,1.48,12.03,light,cool
img692.jpg,68.63,8.89,12.23,medium,cool
img7170.jpg,33.08,9.71,12.89,dark,cool
img1501.jpg,75.75,13.64,16.93,light,neutral
img4451.jpg,40.69,30.15,28.23,medium,warm
img5997.jpg,41.74,8.6,1.48,medium,cool
img7158.jpg,57.3,12.31,22.71,medium,unclassified
img6246.jpg,36.59,12.37,16.57,dark,neutral
img862.jpg,74.69,12.13,14.7,light,neutral
img1529.jpg,74.48,5.47,12.99,light,cool
img6520.jpg,72.45,15.32,15.59,light,warm
img4337.jpg,23.33,5.88,0.41,dark,cool
img2746.jpg,75.89,11.45,13.51,light,neutral
img6534.jpg,61.63,12.62,29.11,medium,unclassified
img6252.jpg,47.49,22.66,24.54,medium,warm
img876.jpg,81.21,7.17,13.38,light,unclassified
